Code;Name
11.01.15;Напольные игры
11.01.16;Машины, техника и аксессуары
11.01.17;Для самых маленьких
11.01.18;Хранение игрушек
11.01.19;Игры на улице
11.01.20;Игровые наборы
11.02.00;Обучение и творчество
11.02.01;Обучающие материалы и авторские методики
11.02.02;Наука и техника
11.02.03;Товары для школы
11.02.04;Товары для творчества
11.03.00;Товары для мам и малышей
11.03.01;Купание
11.03.02;Товары для мам
11.03.03;Смена подгузника
11.03.04;Кормление
11.03.05;Прогулки и путешествия
11.03.06;Здоровье и уход
11.03.07;Сон
11.03.08;Защита и безопасность
12.00.00;Товары для здоровья
12.01.00;Техника для красоты и здоровья
12.01.01;Миостимуляторы
12.01.02;Массажеры
12.01.03;Солярии
12.02.00;Средства и предметы гигиены
12.02.01;Ватные палочки и диски
12.02.02;Бумажные средства гигиены
12.02.03;Зубная паста, щетки, полоскание
12.03.00;Аптека
12.03.01;Средства по уходу за больными
12.03.02;Контрацептивы
12.03.03;Медицинские приборы и изделия
12.03.04;Оптика
12.03.05;Ортопедические изделия и обувь
12.03.06;Дезинфицирующие средства
12.03.07;Диагностические тесты
12.03.08;Лекарственные препараты
12.03.09;Ароматерапия
12.03.10;Медицинские материалы
12.03.11;Витамины, минералы, пищевые добавки
12.03.12;Лечебная одежда
13.00.00;Досуг и развлечения
13.01.00;Книги
13.01.01;Детская литература
13.01.02;Юридическая литература
13.01.03;Аудиокниги
13.01.04;Дом, семья, досуг
13.01.05;Художественная литература
13.01.06;Календари
13.01.07;Журналы и газеты
13.01.08;Словари, справочники, энциклопедии
13.01.09;Компьютеры и интернет
13.01.10;Техническая литература
13.01.11;Медицина
13.01.12;Литература на иностранных языках
13.01.13;Эзотерика
13.01.14;Бизнес и экономика
13.01.15;Наука и образование
13.01.16;Искусство и культура
13.02.00;Туры
13.03.00;Билеты
13.03.01;Мюзикл
13.03.02;Спорт
13.03.03;Театр
13.03.04;Концерт
13.03.05;Цирк
13.03.06;Кино
13.03.07;Шоу
13.04.00;Музыкальные инструменты
13.04.01;Микшерные пульты
13.04.02;Гитарное усиление
13.04.03;Синтезаторы и миди-клавиатуры
13.04.04;Аксессуары
13.04.05;Акустические гитары
13.04.06;Ударные инструменты
13.04.07;Электрогитары и бас-гитары
13.04.08;Акустические пианино
13.04.09;Духовые инструменты
13.04.10;Смычковые инструменты
13.05.00;Музыка
13.05.11;Диски караоке
13.05.12;Романсы
13.05.13;Disco
13.05.14;Фолк, этника
13.05.15;Электронная музыка
13.05.16;Alternative
13.05.17;Soundtracks
13.05.18;Русская поп-музыка
13.05.19;Другая музыка
13.05.20;Pop
13.05.21;Blues
13.05.22;Reggae
13.05.23;Rap
13.05.24;Классическая музыка
13.05.25;Авторская песня
13.05.26;Музыка для детей
13.05.27;Heavy metal
13.05.28;Funk
13.05.29;Русский рок
13.05.30;Jazz
13.05.31;Hard rock
13.05.32;Classic rock
13.06.00;Видеофильмы
13.06.01;Мультфильмы
13.06.02;Боевики
13.06.03;Спорт
13.06.04;Фантастика
13.06.05;Мистика и ужасы
13.06.06;Мелодрамы
13.06.07;Мюзиклы и театрализованные постановки
13.06.08;Музыка
13.06.09;Детские фильмы
13.06.10;Исторические фильмы
13.06.11;Приключения
13.06.12;Триллеры
13.06.13;Детективы
13.06.14;Вестерны
13.06.15;Комедии
13.06.16;Драмы
13.06.17;Документальные фильмы
13.06.18;Биографические фильмы
13.06.19;Видеокурсы
13.06.20;Сериалы
14.00.00;Подарки и цветы
14.01.00;Новогодние товары
14.01.01;Елки живые
14.01.02;Елочные украшения
14.01.03;Елки искусственные
14.01.04;Новогодние фигурки и сувениры
14.01.05;Новогодний декор
14.01.06;Символ года Лошади
14.02.00;Подарочная упаковка
14.03.00;Букеты из игрушек
14.04.00;Подарочные сертификаты
14.05.00;Настольные игры
14.06.00;Цветы
14.07.00;Товары для праздников
14.07.01;Грим
14.07.02;Воздушные шары
14.07.03;Фейерверки
14.08.00;Ювелирные изделия
14.08.01;Ювелирные украшения
14.08.02;Посуда и сувениры
14.09.00;Дом и интерьер
14.09.01;Подарочные свечи
14.09.02;Декоративная посуда
14.09.03;Кальяны
14.09.04;Фотоальбомы и рамки
14.09.05;Предметы искусства
14.09.06;Декоративные телефоны
